id,session,datetime,value
1,1,2025-09-12 09:40:45.004855,t
2,1,2025-09-12 09:40:46.207486,f
3,1,2025-09-12 09:40:51.328529,t
4,1,2025-09-12 09:40:52.49574,f
5,1,2025-09-12 09:40:55.784781,t
6,1,2025-09-12 09:40:56.919787,f
7,1,2025-09-12 09:41:01.188772,t
8,1,2025-09-12 09:41:03.379312,f
9,1,2025-09-12 09:41:05.927188,t
10,1,2025-09-12 09:41:06.787565,f
11,1,2025-09-12 09:41:21.748562,t
12,1,2025-09-12 09:41:22.867278,f
13,1,2025-09-12 09:41:25.851179,t
14,1,2025-09-12 09:41:28.04762,f
15,1,2025-09-12 09:41:31.374362,t
16,1,2025-09-12 09:41:32.850945,f
17,1,2025-09-12 09:41:35.438963,t
18,1,2025-09-12 09:41:36.523468,f
19,1,2025-09-12 09:41:41.359888,t
20,1,2025-09-12 09:41:42.243187,f
21,1,2025-09-12 09:41:49.83139,t
22,1,2025-09-12 09:41:51.011263,f
23,1,2025-09-12 09:41:54.300488,t
24,1,2025-09-12 09:41:55.411803,f
25,1,2025-09-12 09:41:59.030848,t
26,1,2025-09-12 09:41:59.801982,f
27,1,2025-09-12 09:42:12.659557,t
28,1,2025-09-12 09:42:13.401597,f
29,1,2025-09-12 09:42:15.989952,t
30,1,2025-09-12 09:42:17.184446,f
31,1,2025-09-12 09:47:58.076396,t
32,1,2025-09-12 09:47:59.257914,f
33,1,2025-09-12 09:48:02.466438,t
34,1,2025-09-12 09:48:03.585342,f
35,1,2025-09-12 09:48:06.977756,t
36,1,2025-09-12 09:48:08.392156,f
37,1,2025-09-12 09:49:26.038406,t
38,1,2025-09-12 09:49:27.122704,f
39,1,2025-09-12 09:49:31.195094,t
40,1,2025-09-12 09:49:32.284039,f
41,1,2025-09-12 09:49:35.982453,t
42,1,2025-09-12 09:49:37.079372,f
43,1,2025-09-12 09:49:41.052246,t
44,1,2025-09-12 09:49:42.138518,f
45,1,2025-09-12 09:50:13.447429,t
46,1,2025-09-12 09:50:14.627393,f
47,1,2025-09-12 09:51:22.330657,t
48,1,2025-09-12 09:51:23.395597,f
49,1,2025-09-12 09:51:34.506973,t
50,1,2025-09-12 09:51:35.600345,f
51,1,2025-09-12 09:51:38.880321,t
52,1,2025-09-12 09:51:39.983073,f
53,1,2025-09-12 09:52:08.036156,t
54,1,2025-09-12 09:52:09.355812,f
55,1,2025-09-12 09:53:00.708266,t
56,1,2025-09-12 09:53:01.804219,f
57,1,2025-09-12 09:53:08.015478,t
58,1,2025-09-12 09:53:09.0954,f
59,1,2025-09-12 09:53:19.212146,t
60,1,2025-09-12 09:53:20.303632,f
61,1,2025-09-12 09:53:24.407735,t
62,1,2025-09-12 09:53:25.483835,f
63,1,2025-09-12 09:54:33.482406,t
64,1,2025-09-12 09:54:34.981307,f
65,1,2025-09-12 09:54:41.879141,t
66,1,2025-09-12 09:54:43.058864,f
67,1,2025-09-12 09:54:46.940554,t
68,1,2025-09-12 09:54:49.140725,f
69,1,2025-09-12 09:54:51.539219,t
70,1,2025-09-12 09:54:52.600207,f
71,1,2025-09-12 09:55:06.52055,t
72,1,2025-09-12 09:55:07.697912,f
73,2,2025-09-12 09:56:56.365784,t
74,2,2025-09-12 09:56:57.45037,f
75,2,2025-09-12 09:57:20.703224,t
76,2,2025-09-12 09:57:21.787076,f
77,2,2025-09-12 09:57:26.574746,t
78,2,2025-09-12 09:57:27.754922,f
79,2,2025-09-12 09:57:56.346033,t
80,2,2025-09-12 09:57:57.458886,f
81,2,2025-09-12 09:58:00.636725,t
82,2,2025-09-12 09:58:01.824281,f
83,2,2025-09-12 09:58:05.105717,t
84,2,2025-09-12 09:58:06.179007,f
85,2,2025-09-12 09:58:09.479542,t
86,2,2025-09-12 09:58:10.579886,f
87,2,2025-09-12 09:58:48.507963,t
88,2,2025-09-12 09:58:49.582865,f
89,2,2025-09-12 09:58:52.876024,t
90,2,2025-09-12 09:58:53.958012,f
91,2,2025-09-12 09:58:58.642283,t
92,2,2025-09-12 09:58:59.734588,f
93,2,2025-09-12 09:59:25.776941,t
94,2,2025-09-12 09:59:26.931291,f
95,2,2025-09-12 09:59:30.216802,t
96,2,2025-09-12 09:59:31.353633,f
97,2,2025-09-12 10:00:10.679562,t
98,2,2025-09-12 10:00:11.403777,f
99,2,2025-09-12 10:00:14.773382,t
100,2,2025-09-12 10:00:15.873961,f
101,2,2025-09-12 10:02:35.471901,t
102,2,2025-09-12 10:02:36.510656,f
103,2,2025-09-12 10:02:40.002999,t
104,2,2025-09-12 10:02:41.059909,f
105,2,2025-09-12 10:02:45.347494,t
106,2,2025-09-12 10:02:46.419133,f
107,2,2025-09-12 10:04:15.655791,t
108,2,2025-09-12 10:04:16.747158,f
109,3,2025-09-16 14:27:04.787281,t
110,3,2025-09-16 14:27:05.886696,f
111,3,2025-09-16 14:27:09.67612,t
112,3,2025-09-16 14:27:10.752091,f
113,3,2025-09-16 14:27:14.045411,t
