id,session,datetime,value
146,10,2025-09-17 13:33:11.969995,t
147,11,2025-09-17 13:50:31.50263,t
148,12,2025-09-17 14:19:27.790227,f
149,12,2025-09-17 14:19:35.983791,t
150,12,2025-09-17 14:19:51.245592,f
151,12,2025-09-17 14:20:01.759413,t
152,12,2025-09-17 14:20:05.554168,f
153,12,2025-09-17 14:20:15.696067,t
154,12,2025-09-17 14:20:21.256728,f
155,12,2025-09-17 14:20:30.500728,t
156,12,2025-09-17 14:20:40.865314,f
157,12,2025-09-17 14:20:48.099974,t
158,12,2025-09-17 14:21:07.798805,f
159,12,2025-09-17 14:21:15.965958,t
160,12,2025-09-17 14:21:56.842341,f
161,12,2025-09-17 14:22:04.606536,t
162,12,2025-09-17 14:23:07.863648,f
163,12,2025-09-17 14:23:17.042987,t
164,12,2025-09-17 14:23:53.390508,f
165,12,2025-09-17 14:24:01.638611,t
166,12,2025-09-17 14:24:02.610465,f
167,12,2025-09-17 14:24:10.354683,t
168,12,2025-09-17 14:24:19.462771,f
169,12,2025-09-17 14:24:26.703028,t
170,12,2025-09-17 14:24:50.190549,f
171,12,2025-09-17 14:24:58.406439,t
172,12,2025-09-17 14:25:12.706312,f
173,12,2025-09-17 14:25:23.550173,t
174,12,2025-09-17 14:25:26.696448,f
175,12,2025-09-17 14:25:35.80095,t
176,12,2025-09-17 14:25:54.532231,f
177,12,2025-09-17 14:26:02.779033,t
178,12,2025-09-17 14:27:09.42244,f
179,12,2025-09-17 14:27:16.697819,t
180,12,2025-09-17 14:27:18.570287,f
181,12,2025-09-17 14:27:28.966147,t
182,12,2025-09-17 14:28:11.750381,f
183,12,2025-09-17 14:28:19.974731,t
184,12,2025-09-17 14:28:21.01121,f
185,12,2025-09-17 14:28:29.167325,t
186,12,2025-09-17 14:28:49.518168,f
187,12,2025-09-17 14:28:57.752008,t
188,12,2025-09-17 14:29:05.603934,f
189,12,2025-09-17 14:29:13.798701,t
190,12,2025-09-17 14:29:17.382477,f
191,12,2025-09-17 14:29:23.923975,t
192,19,2025-09-17 16:22:47.835003,f
193,19,2025-09-17 16:23:09.889634,t
194,19,2025-09-17 16:23:32.422256,f
195,19,2025-09-17 16:23:41.162789,t
196,19,2025-09-17 16:23:53.68885,f
197,19,2025-09-17 16:24:07.940264,t
198,19,2025-09-17 16:24:19.247593,f
199,19,2025-09-17 16:24:26.491477,t
200,20,2025-09-17 16:35:33.288715,f
201,20,2025-09-17 16:35:52.556065,t
202,20,2025-09-17 16:36:03.843687,f
203,20,2025-09-17 16:36:12.732125,t
204,20,2025-09-17 16:36:25.427767,f
205,20,2025-09-17 16:36:47.056087,t
206,20,2025-09-17 16:36:51.627991,f
207,20,2025-09-17 16:36:59.860391,t
208,20,2025-09-17 16:37:27.410886,f
209,20,2025-09-17 16:37:29.400476,t
210,20,2025-09-17 16:39:51.633871,f
211,20,2025-09-17 16:39:56.524248,t
212,20,2025-09-17 16:46:00.101863,f
213,20,2025-09-17 16:46:07.715575,t
214,20,2025-09-17 16:52:51.806922,f
215,20,2025-09-17 16:54:55.086007,t
216,21,2025-09-17 17:00:26.844193,f
217,21,2025-09-17 17:00:34.882484,t
218,21,2025-09-17 17:06:58.392668,f
219,21,2025-09-17 17:07:42.149972,t
220,21,2025-09-17 17:08:17.551711,f
221,21,2025-09-17 17:08:36.90338,t
222,21,2025-09-17 17:08:51.595961,f
223,21,2025-09-17 17:09:17.596202,t
224,21,2025-09-17 17:09:18.621357,f
225,21,2025-09-17 17:09:23.723908,t
226,22,2025-09-17 17:17:54.664689,f
227,22,2025-09-17 17:18:01.897541,t
228,22,2025-09-17 17:22:30.765182,f
229,22,2025-09-17 17:23:01.444261,t
230,23,2025-09-22 14:55:10.683103,t
231,23,2025-09-22 14:56:16.952053,t
232,24,2025-09-22 14:56:48.462136,t
